101	great	1. 위대한, 훌륭한 2. 큰, 많은 
102	should	~해야 한다, ~할 것이다 
103	long	1. 긴, 기다란 2. 오랫동안 3. 간절히 바라다 
104	where	어디, 어디에, ~하는 곳 
105	back	1. 등 2. 뒤 3. 돌아가다 
106	start	1. 시작(하다), 출발하다 2. 시작점 
107	thing	1. 것, 일 2. 상황 3. 물건 
108	while	1. ~하는 동안에, 사이에 2. ~에 반하여 
109	create	1. 만들다, 창조하다 2. 창립하다 
110	much	1. 많은, 매우 많이 2. 대부분 
111	able	1. 할 수 있는 2. 유능한 
112	right	1. 옳은 2. 정확한 3. 권리, 인권 4. 오른쪽 
113	set	1. 설정하다 2. 놓다 3. 위치한 4. 세트 
114	service	1. 서비스 2. 봉사, 근무 
115	such	1. 그런, 그러한 2. 매우 
116	view	1. 견해, 의견, 관점 2. 보다 3. 전망 
117	different	1. 다른, 별개의 2. 여러가지의 
118	own	1. 자기 자신의 2. 소유하다 
119	before	1. 전에 2. 앞에 
120	information	정보 
121	show	1. 보여주다 2. 공연, 전시회 3. 프로그램, 쇼 
122	try	1. 시도(하다), 노력하다 2. 시험해보다 
123	change	1. 바꾸다, 변하다 2. (옷을)~으로 갈아 입다 3. 변화 
124	state	1. 상태 2. 국가, 나라 3. 미국 주 4. 말하다 
125	part	1. 일부, 부분 2. 부품 3. 지역 
126	each	각각의, 제각기의 
127	here	여기에, 이곳 
128	place	1. 장소, 곳 2. 자리 3. 놓다, 두다 
129	call	1. 부르다 2. 전화(를 하다) 
130	product	1. 상품, 제품 2. 산물 3. 결과물, 성과물 
131	lead	1. 안내하다 2. 이끌다 3. 선두 4. 납 
132	game	1. 게임, 경기 2. 사냥감 
133	life	1. 삶, 인생 2. 목숨, 생 
134	person	사람, 개인 
135	busy	1. 바쁜 2. 통화 중인 
136	world	세계, 세상 
137	system	1. 체제, 체계 2. 시스템 
138	same	같은(것), 동일한 
139	build	1. 만들다, 구축하다 2. 건축하다, 짓다 
140	apply	1. 신청하다 2. 적용하다, 응용하다 3. (약,크림 등을) 바르다 
141	program	1. 프로그램(을 설정하다) 2. 과정 
142	still	1. 가만히 있는, 정지한 2. 아직도 3. 그럼에도, 하지만 
143	last	1. 마지막의, 끝 2. 지속되다 3. 지난 
144	feel	1. 느끼다 2. 기분 3. 만져보다 
145	home	1. 집 2. 고향 3. 고국, 본국 
146	love	사랑(하다) 
147	keep	1. ~을 계속하다, 유지하다 2. 가지고 있다 
148	company	1. 회사 2. 단체, 집단 3. 동료, 일행 
149	develop	1. 개발하다 2. 성장하다, 발달시키다, 발전하다 3. 전개시키다 
150	down	1. 아래로, 내려가는, (아래쪽으로)지는 2. 격추하다 3. 우울한 
151	both	1. 둘 다(의), 양쪽(의), 쌍방(의) 2. ~뿐만 아니라 ~또한 
152	run	1. 달리다, 뛰다 2. 운영하다 3. 작동하다 4. 유효하다 5. (물이)흐르다 
153	off	1. 떨어져 있는 2. 꺼진 3. (근무를)쉬는 
154	nation	국가 
155	follow	1. 따르다, ~을 따라가다 2. ~의 결과로 나타나다, 뒤를 잇다 3. 이해하다 
156	point	1. 요점, 의도하는 바 2. 요소, 점 3. 점수 4. 가리키다 
157	end	1. 끝(내다), 종료(하다) 2. 목표, 목적 
158	mean	1. ~의미하다, ~의도하다 2. 못된, 나쁜 3. 평균 
159	number	1. 수, 숫자 2. 번호(를 매기다), 수를 세다 
160	pay	1. 지불하다, 납부하다 2. 대가를 치르다 3. 임금, 급료 
161	around	1. 주위에, 주변에 2. (빙)돌아 3. 대략, ~쯤 
162	design	1. 디자인(하다), 설계(하다) 2. 계획(하다), 고안하다 3. 도안 
163	school	1. 학교 2. 교육하다 3. 학파, 유파 
164	offer	1. 제의(하다), 제안(하다) 2. 제공하다 
