version: 1.0,published: 04/09/2019,date queried: 12/24/2020,email: co.suffer.struggle@gmail.com,grade: 1,"domains: general, social_studies, math, science"

Word,Domain,Grade
lesson,general,1
each,general,1
solve,general,1
shape,general,1
sentence,general,1
grow,general,1
vocabulary,general,1
compare,general,1
chart,general,1
science,general,1
inquiry,general,1
addition,general,1
essential,general,1
pattern,general,1
explain,general,1
below,general,1
observe,general,1
activity,general,1
strategy,general,1
alike,general,1
resource,general,1
describe,general,1
detail,general,1
envision,general,1
large,general,1
complete,general,1
model,general,1
topic,general,1
natural,general,1
independent,general,1
predict,general,1
symbol,general,1
technology,general,1
estimate,general,1
solve,math,1
unit,math,1
subtract,math,1
measure,math,1
cube,math,1
equal,math,1
graph,math,1
math,math,1
subtraction,math,1
data,math,1
mathematical,math,1
estimate,math,1
plant,science,1
earth,science,1
soil,science,1
seed,science,1
ocean,science,1
matter,science,1
energy,science,1
solid,science,1
material,science,1
scientist,science,1
heat,science,1
liquid,science,1
habitat,science,1
magnet,science,1
temperature,science,1
nonliving,science,1
gas,science,1
cycle,science,1
insect,science,1
lab,science,1
stem,science,1
shelter,science,1
electricity,science,1
plastic,science,1
gram,science,1
diagram,science,1
environment,science,1
shell,science,1
thermometer,science,1
pole,science,1
attract,science,1
engineer,science,1
giraffe,science,1
mass,science,1
reuse,science,1
ant,science,1
planet,science,1
elephant,science,1
caterpillar,science,1
gravity,science,1
liter,science,1
melt,science,1
metal,science,1
mixture,science,1
tadpole,science,1
astronaut,science,1
cub,science,1
mammal,science,1
motion,science,1
vapor,science,1
evaporate,science,1
hive,science,1
lens,science,1
lizard,science,1
seedling,science,1
dissolve,science,1
erosion,science,1
flow,science,1
pulley,science,1
reflect,science,1
wave,science,1
analog,science,1
beetle,science,1
foldable,science,1
fossil,science,1
iron,science,1
lever,science,1
reptile,science,1
rocket,science,1
snail,science,1
survive,science,1
tiger,science,1
wetland,science,1
dam,science,1
country,social_studies,1
explore,social_studies,1
state,social_studies,1
community,social_studies,1
strategy,social_studies,1
farm,social_studies,1
goods,social_studies,1
journal,social_studies,1
unite,social_studies,1
vote,social_studies,1
culture,social_studies,1
citizen,social_studies,1
history,social_studies,1
genre,social_studies,1
transportation,social_studies,1
government,social_studies,1
native,social_studies,1
king,social_studies,1
continent,social_studies,1
property,social_studies,1
trade,social_studies,1
colony,social_studies,1
freedom,social_studies,1
market,social_studies,1
custom,social_studies,1
independence,social_studies,1
party,social_studies,1
pilgrim,social_studies,1
plain,social_studies,1
celebration,social_studies,1
citizenship,social_studies,1
factory,social_studies,1
crop,social_studies,1
volunteer,social_studies,1
constitution,social_studies,1
folktale,social_studies,1
governor,social_studies,1
mayor,social_studies,1
museum,social_studies,1
nation,social_studies,1
pledge,social_studies,1
invention,social_studies,1
language,social_studies,1
route,social_studies,1
capital,social_studies,1
statue,social_studies,1
grace,social_studies,1
immigrant,social_studies,1
war,social_studies,1
atlas,social_studies,1
capitol,social_studies,1
discover,social_studies,1
geography,social_studies,1
border,social_studies,1
cattle,social_studies,1
dam,social_studies,1
landmark,social_studies,1
literary,social_studies,1
narrator,social_studies,1
principal,social_studies,1
suburb,social_studies,1
wheat,social_studies,1
